ID,파일명,대주제,불공정 약관 원문,시정 요청 사유,근거 조항(약관법),수정 후 약관 조항
v-182,AI_Generated_Data,의사표시의 의제,"고객이 서비스를 계속 이용할 경우, 회사의 새로운 규정에 동의한 것으로 간주한다.",서비스 이용 지속이라는 작위를 새로운 규정이라는 불명확한 내용에 대한 포괄적 동의로 간주하는 것은 부당함.,제12조 제1호,"회사가 새로운 규정을 시행할 경우, 고객에게 명확히 고지하며, 고객은 그 규정에 동의한 경우에만 서비스를 계속 이용할 수 있습니다."
v-183,AI_Generated_Data,의사표시의 의제,"고객이 회사의 홈페이지에서 탈퇴하지 않고 1년 이상 로그인하지 않은 경우, 본 계약상 모든 권리를 포기한 것으로 본다.",장기간 **부작위(로그인하지 않음)**를 근거로 계약상 모든 권리라는 중대한 권익을 포기한 것으로 간주하는 것은 부당함.,제12조 제1호,회사는 고객의 장기간 미이용 시에도 계약상 권리를 임의로 포기한 것으로 간주하지 않습니다.
v-184,AI_Generated_Data,의사표시의 의제,"회사가 고객에게 추가 요금 부과 내용을 문자 메시지로 발송하였고, 고객이 24시간 이내에 거부 의사를 밝히지 않으면, 해당 요금 부과에 묵시적으로 동의한 것으로 간주한다.",고객에게 불리한 요금 부과에 대해 24시간이라는 매우 짧은 기간 내 부작위를 묵시적 동의로 간주하는 것은 부당함.,제12조 제1호,추가 요금 부과는 고객의 명시적인 동의를 얻은 후에 이루어집니다.
v-185,AI_Generated_Data,의사표시의 의제,"고객이 제품 수령 후 7일 이내에 하자에 대한 이의를 제기하지 않으면, 하자가 없는 완제품 인수에 동의한 것으로 본다.",7일 이내 부작위를 근거로 하자가 없다는 중대한 사실에 동의한 것으로 간주하여 고객에게 불리함.,제12조 제1호,"고객은 제품 수령 후 합리적인 기간 내에 하자에 대한 이의를 제기할 수 있으며, 이 기간 내에 이의 제기가 없었다는 이유만으로 하자가 없음에 동의한 것으로 간주하지 않습니다."
v-186,AI_Generated_Data,의사표시의 의제,"고객이 본 계약과 관련된 분쟁이 발생했음에도 회사의 중재 절차 요청에 10일 이내 응하지 않으면, 소송 제기 권한을 포기한 것으로 간주한다.",고객의 부작위를 근거로 헌법상 보장된 소송 제기 권한을 포기한 것으로 간주하는 것은 부당함.,제12조 제1호,"고객은 회사의 중재 절차 요청에 응할 의무가 없으며, 소송 제기 권한은 고객의 의사에 따라 행사됩니다."
v-187,AI_Generated_Data,의사표시의 의제,본 서비스에 가입하는 것은 고객의 개인정보 제3자 제공에 포괄적으로 동의하는 것으로 본다.,서비스 가입이라는 작위를 민감한 정보의 제3자 제공이라는 별도의 중대한 사안에 대한 포괄적 동의로 간주하는 것은 부당함.,제12조 제1호,고객의 개인정보 제3자 제공은 관련 법령에 따라 고객의 별도 동의를 받은 후에 이루어집니다.
v-188,AI_Generated_Data,의사표시의 의제,"고객이 상품 대금을 납부한 경우, 이는 상품의 인도 기일 변경에 동의한 것으로 본다.",상품 대금 납부라는 작위를 인도 기일 변경이라는 별도의 계약 조건 변경에 대한 동의로 간주하는 것은 부당함.,제12조 제1호,"상품 인도 기일의 변경은 고객의 명시적인 동의를 받은 후에 이루어지며, 단순 대금 납부만으로 동의한 것으로 보지 않습니다."
v-189,AI_Generated_Data,의사표시의 의제,"고객이 회사의 마케팅 활동에 명시적으로 거부 의사를 밝히지 않은 경우, 광고성 정보 수신에 동의한 것으로 간주한다.","부작위를 광고성 정보 수신에 대한 능동적 동의로 간주하는 것은 부당하며, 관련 법령(정보통신망법)에 위배될 소지가 높음.",제12조 제1호,"광고성 정보 수신은 고객의 명시적인 동의를 받은 후에 이루어지며, 고객은 언제든지 동의를 철회할 수 있습니다."
,,,,,,
v-190,AI_Generated_Data,고객의 권익 보호,회사는 고객에게 별도의 동의 없이 업무상 알게 된 고객의 개인 신용정보를 마케팅 목적으로 제3자에게 제공할 수 있다.,고객의 개인 신용정보를 별도 동의 없이 마케팅 목적으로 제3자에게 제공하는 것은 업무상 비밀 누설을 허용하는 것임.,제11조 제4호,"회사는 고객의 개인 신용정보 보호 법령에 따라, 고객의 명시적인 동의 없이는 정보를 제3자에게 제공하거나 마케팅 목적으로 활용하지 않습니다."
v-191,AI_Generated_Data,고객의 권익 보호,회사는 서비스 개선 및 연구를 위하여 고객의 민감한 의료 정보 일체를 익명 처리 없이 관계 기관에 제공할 수 있다.,민감한 의료 정보를 익명 처리 없이 관계 기관에 제공하는 것은 고객의 비밀을 정당한 이유 없이 누설하는 것에 해당함.,제11조 제4호,"고객의 민감 정보는 관련 법령 및 고객의 동의에 따라 처리하며, 서비스 개선 목적 등으로 활용할 경우 식별이 불가능하도록 익명 처리를 거칩니다."
v-192,AI_Generated_Data,고객의 권익 보호,회사는 고객의 계약 해지 이후에도 고객의 거래 실적 및 금융 정보를 내부 자료로 영구 보존 및 활용할 수 있다.,계약 해지 후에도 고객의 거래 실적 및 금융 정보를 영구 보존 및 활용하는 것은 고객 비밀을 과도하게 이용하는 것임.,제11조 제4호,"회사는 고객의 계약 해지 후 관련 법령에 따른 보존 기간이 경과하면, 고객의 개인정보 및 비밀 정보를 지체 없이 파기합니다."
v-193,AI_Generated_Data,고객의 권익 보호,본 약관에 동의하는 것은 회사가 고객의 모든 정보를 자유롭게 활용하고 제3자와 공유하는 것에 동의하는 것으로 간주한다.,모든 정보'의 '자유로운 활용 및 공유'를 포괄적으로 동의하도록 강제하여 고객 비밀에 대한 보호 의무를 회피함.,제11조 제4호,고객의 정보 활용 및 제3자 제공은 활용 목적 및 범위를 명확히 하고 고객의 개별적인 동의를 얻은 후에 이루어집니다.
v-194,AI_Generated_Data,고객의 권익 보호,"고객이 회사의 협력업체에 대한 정보 제공에 동의하지 않을 경우, 서비스 이용이 제한될 수 있다.",서비스 제공과 직접 관련 없는 정보 제공 동의를 거부했다는 이유로 서비스 이용 자체를 제한하는 것은 부당함.,제11조 제4호,"고객은 협력업체에 대한 정보 제공 동의를 거부할 수 있으며, 동의 거부가 서비스 이용에 필수적이지 않은 경우 서비스 이용이 제한되지 않습니다."
v-195,AI_Generated_Data,고객의 권익 보호,"회사는 고객에게 사전에 고지할 경우, 고객의 영업 비밀에 해당하는 정보를 공공의 이익을 위해 공개할 수 있다.",고객의 영업 비밀을 '공공의 이익'이라는 불명확한 사유로 임의로 공개할 수 있도록 하는 것은 비밀 누설을 허용하는 것임.,제11조 제4호,회사는 법률에 특별한 규정이 있는 경우를 제외하고는 고객의 영업 비밀을 고객의 명시적인 동의 없이 공개할 수 없습니다.
v-196,AI_Generated_Data,고객의 권익 보호,고객 정보 유출로 인한 회사의 모든 법적 책임은 관련 법령이 허용하는 범위 내에서 면제된다.,정보 유출에 대한 회사의 책임을 '관련 법령이 허용하는 범위 내에서'라는 문구로 최대한 면제하려는 시도는 부당함.,제11조 제4호,회사는 고객 정보 유출로 인해 고객에게 발생한 손해에 대해 관련 법령이 정하는 바에 따라 책임을 부담합니다.
v-197,AI_Generated_Data,고객의 권익 보호,회사는 분쟁 발생 시 고객의 동의 없이 분쟁 해결을 위해 고객의 모든 개인정보를 외부 법률 대리인에게 제공할 수 있다.,분쟁 해결 목적이라도 고객의 동의 없이 모든 개인정보를 외부 대리인에게 제공하는 것은 비밀 누설에 해당함.,제11조 제4호,"회사는 분쟁 해결을 위해 고객의 정보를 제공할 필요가 있는 경우, 고객의 동의를 받거나 관련 법령 및 법원의 명령에 따라 최소한의 정보를 제공합니다."
v-198,AI_Generated_Data,고객의 권익 보호,고객의 정보는 회사가 정하는 기준과 절차에 따라 언제든지 다른 회사의 서비스와 통합되어 이용될 수 있다.,고객 정보의 타사 서비스와의 통합 이용에 대해 포괄적이고 불명확한 동의를 받으려는 시도는 부당한 비밀 누설 허용에 해당함.,제11조 제4호,"고객의 정보가 다른 회사의 서비스와 통합되어 이용되는 경우, 회사는 이용 목적, 범위 및 기간을 명확히 하고 고객의 별도 동의를 받아야 합니다."
v-199,AI_Generated_Data,고객의 권익 보호,고객의 비밀 정보를 누설한 경우에도 사업자나 피고용자에게 고의 또는 중대한 과실이 없으면 책임지지 않는다.,비밀 누설에 대한 사업자의 책임 요건을 고의 또는 중과실로 한정하여 경과실에 대한 책임을 면제하려는 것은 부당함.,제11조 제4호,"사업자나 피고용인의 **귀책사유(고의 또는 과실)**로 인해 고객의 비밀 정보가 누설되어 고객에게 손해가 발생한 경우, 회사는 그에 대한 책임을 부담합니다."
,,,,,,
v-200,AI_Generated_Data,계약의 해제ㆍ해지,고객은 본 서비스 계약 기간 중 회사의 경쟁업체와 동일 또는 유사한 내용의 계약을 체결할 수 없다.,고객의 자유로운 영업 활동 및 제3자와의 계약 체결의 자유를 부당하게 제한하여 고객에게 불리함.,제9조 제5호,고객은 본 서비스 이용에 지장을 주지 않는 범위 내에서 자유롭게 제3자와 계약을 체결할 수 있습니다.
v-201,AI_Generated_Data,계약의 해제ㆍ해지,고객이 회사의 제품을 구매한 후 다른 사업자의 호환 제품 또는 부품을 사용하는 것을 금지한다.,"고객의 구매한 제품에 대한 자유로운 사용권을 침해하고, 제3자와의 거래를 부당하게 제한함.",제9조 제5호,고객은 회사의 제품을 구매한 후 관련 법령 및 규격에 맞는 다른 사업자의 호환 제품 또는 부품을 사용할 수 있습니다.
v-202,AI_Generated_Data,계약의 해제ㆍ해지,프랜차이즈 가맹점은 회사의 서면 승인 없이 제3자와 원자재 공급 계약을 체결할 수 없다.,가맹점의 자율적인 영업 및 구매 선택권을 회사의 서면 승인으로 부당하게 제한함.,제9조 제5호,프랜차이즈 가맹점은 회사가 지정한 필수 원자재 외의 품목에 대해 자유롭게 제3자와 공급 계약을 체결할 수 있습니다.
v-203,AI_Generated_Data,계약의 해제ㆍ해지,본 장비를 임차한 고객은 임차 기간 중 이를 제3자에게 양도하거나 재임대할 수 없다.,임차 고객의 임차물에 대한 합리적인 사용 및 처분 권한을 부당하게 제한함.,제9조 제5호,고객은 임차한 장비를 회사의 사전 동의를 받아 제3자에게 양도하거나 재임대할 수 있습니다.
v-204,AI_Generated_Data,계약의 해제ㆍ해지,고객은 회사의 사전 서면 동의 없이 서비스를 제3자에게 유상 또는 무상으로 제공할 수 없다.,고객의 자유로운 서비스 활용 및 제3자와의 거래를 사업자의 서면 동의로 부당하게 제한함.,제9조 제5호,고객은 본 계약의 목적에 반하지 않는 범위 내에서 서비스를 제3자에게 유상 또는 무상으로 제공할 수 있습니다.
v-205,AI_Generated_Data,계약의 해제ㆍ해지,본 아파트의 수분양자는 입주 후 5년 이내에 제3자에게 전매하거나 임대할 수 없다.,부동산의 소유권에 기반한 자유로운 처분권을 부당하게 장기간 제한함.,제9조 제5호,수분양자는 관련 법령이 허용하는 범위 내에서 본 아파트를 제3자에게 전매하거나 임대할 수 있습니다.
v-206,AI_Generated_Data,계약의 해제ㆍ해지,고객은 본 계약상 발생하는 모든 채권을 회사의 동의 없이 제3자에게 양도할 수 없다.,고객의 법률상 당연히 가지는 채권의 자유로운 처분 권한을 사업자의 동의라는 조건으로 부당하게 제한함.,제9조 제5호,"고객은 본 계약상 발생하는 채권을 제3자에게 양도할 수 있으며, 이 경우 민법 등 관련 법령에 따라 회사에 그 사실을 통지해야 합니다."
v-207,AI_Generated_Data,계약의 해제ㆍ해지,고객이 설치된 회사의 소프트웨어를 사용하는 경우 제3자와의 공동 연구 또는 개발 행위를 금지한다.,고객의 자유로운 학술 활동 및 기술 개발을 부당하게 제한함.,제9조 제5호,고객은 회사의 소프트웨어를 사용하는 경우에도 회사의 지식재산권을 침해하지 않는 범위 내에서 제3자와 공동 연구 또는 개발 행위를 할 수 있습니다.
v-208,AI_Generated_Data,계약의 해제ㆍ해지,고객은 회사가 제공하는 결제 시스템 외 다른 결제 대행업체의 서비스를 이용하는 것을 금지한다.,고객의 자유로운 서비스 선택권 및 제3자와의 계약을 부당하게 제한함.,제9조 제5호,고객은 회사가 제공하는 결제 시스템 외에도 고객이 원하는 결제 대행업체의 서비스를 이용할 수 있습니다.
v-209,AI_Generated_Data,계약의 해제ㆍ해지,고객은 본 서비스 이용 과정에서 알게 된 회사의 결함이나 문제점을 제3자에게 알릴 수 없다.,"고객의 자유로운 의사 표현 및 정보 공유를 부당하게 제한하고, 공익 제보 등을 방해함.",제9조 제5호,고객은 회사의 영업비밀을 침해하지 않는 범위 내에서 본 서비스의 결함이나 문제점을 제3자에게 알릴 수 있습니다.
,,,,,,
v-210,AI_Generated_Data,계약의 해제ㆍ해지,"고객이 1회라도 할부 대금 납부를 지연할 경우, 고객은 잔여 대금 전액을 즉시 일시불로 변제해야 한다.",단 1회의 지연이라는 사소한 채무 불이행을 이유로 잔액 전액에 대한 기한의 이익을 즉시 상실시키는 것은 부당함.,제9조 제5호,"고객이 2회 이상 할부 대금 납부를 지연하거나, 그 외 기한 이익 상실 사유에 해당하는 경우 잔여 대금 전액을 변제해야 합니다."
v-211,AI_Generated_Data,계약의 해제ㆍ해지,"고객이 본 계약상 의무 중 사소한 사항이라도 위반할 경우, 모든 채무의 변제 기한은 통지 없이 상실된 것으로 본다.",사소한 사항' 위반이라는 불명확하고 경미한 사유로 중대한 기한의 이익을 상실시키는 것은 부당함.,제9조 제5호,"고객이 중대한 계약상 의무를 위반하고, 회사가 정한 상당한 기간 내에 이를 시정하지 않을 경우 기한의 이익이 상실될 수 있습니다."
v-212,AI_Generated_Data,계약의 해제ㆍ해지,"고객이 회사의 다른 서비스 계약에서 채무 불이행이 발생하면, 본 계약의 잔여 채무도 즉시 기한의 이익이 상실된다.",다른 계약의 채무 불이행을 이유로 본 계약의 기한의 이익을 상실시키는 것은 채권자 평등의 원칙에 어긋나며 부당함.,제9조 제5호,본 계약상 잔여 채무의 기한 이익 상실은 본 계약의 채무 불이행 사유에 한하여 발생합니다.
v-213,AI_Generated_Data,계약의 해제ㆍ해지,"회사는 고객의 신용 상태가 악화되었다고 판단하는 경우, 잔여 대금의 지급 기한을 변경하고 즉시 변제를 요구할 수 있다.",신용 상태 악화'라는 자의적이고 불명확한 판단 기준으로 기한의 이익을 일방적으로 박탈하는 것은 부당함.,제9조 제5호,회사는 관련 법령 및 공정성이 확보된 객관적인 신용 정보를 근거로 고객에게 기한의 이익 상실을 통보할 수 있습니다.
v-214,AI_Generated_Data,계약의 해제ㆍ해지,"고객이 담보물을 회사의 사전 동의 없이 이전할 경우, 대출금 전액의 기한의 이익은 즉시 상실된다.",담보권 행사에 중대한 영향을 미치지 않는 단순한 이전까지 기한의 이익 상실 사유로 정하는 것은 과도함.,제9조 제5호,고객이 담보물을 훼손하거나 회사의 담보권 행사에 중대한 지장을 초래할 우려가 있는 경우에 기한의 이익이 상실됩니다.
v-215,AI_Generated_Data,계약의 해제ㆍ해지,"고객은 회사가 제공하는 할인 혜택의 조건 중 일부를 이행하지 않을 경우, 할인된 금액을 포함한 원금 전액을 즉시 상환해야 한다.",할인 혜택의 사소한 불이행을 이유로 원금 전액에 대한 기한의 이익을 상실시키고 할인 금액까지 즉시 반환을 요구하는 것은 부당함.,제9조 제5호,"고객이 할인 혜택 조건을 이행하지 않은 경우, 해당 할인 혜택만 소멸하며, 원금 전액에 대한 기한의 이익은 본 계약상의 사유가 발생해야 상실됩니다."
v-216,AI_Generated_Data,계약의 해제ㆍ해지,"고객이 회사와 관련된 다른 법률 분쟁에 휘말리게 될 경우, 본 계약상 잔여 채무의 이행 기한은 즉시 종료된다.",다른 법률 분쟁에 휘말린 사실' 만으로 본 계약의 기한의 이익을 박탈하는 것은 고객의 권리를 부당하게 제한함.,제9조 제5호,본 계약상 잔여 채무의 기한 이익 상실은 본 계약의 이행에 중대한 영향을 미치는 경우에 한하여 발생합니다.
v-217,AI_Generated_Data,계약의 해제ㆍ해지,회사는 시장의 상황 변화를 이유로 고객에게 부여된 잔여 대금의 유예 기간을 일방적으로 단축할 수 있다.,시장의 상황 변화'라는 일방적이고 불명확한 사유로 고객의 기한의 이익을 임의로 단축하는 것은 부당함.,제9조 제5호,회사는 법령이 허용하거나 고객이 동의한 경우를 제외하고는 고객에게 부여된 채무의 이행 기한을 일방적으로 단축할 수 없습니다.
v-218,AI_Generated_Data,계약의 해제ㆍ해지,"고객이 연체금을 완납하였더라도, 회사는 기한의 이익 상실을 해제할 의무가 없으며, 전액 변제를 요구할 수 있다.",기한 이익 상실의 원인이 해소되었음에도 이를 해제할 의무를 면제하고 전액 변제를 요구하는 것은 부당함.,제9조 제5호,"고객이 기한의 이익 상실을 발생시킨 연체금 등 해당 사유를 모두 해소한 경우, 회사는 특별한 사유가 없는 한 기한의 이익 상실 조치를 해제하여야 합니다."
v-219,AI_Generated_Data,계약의 해제ㆍ해지,"고객이 주소 변경 등의 통보 의무를 지연할 경우, 모든 분할 납부 혜택은 취소되며 잔액 전액을 상환해야 한다.",주소 변경 통보 지연이라는 경미한 의무 위반을 이유로 분할 납부 혜택(기한의 이익)을 취소하고 전액 상환을 요구하는 것은 부당함.,제9조 제5호,"고객이 주소 변경 통보 의무를 지연하더라도, 이는 잔액 전액 상환 사유가 될 수 없으며, 통보 의무를 이행하여야 합니다."
,,,,,,
v-220,AI_Generated_Data,고객의 권익 보호,고객은 회사의 서비스 제공에 하자가 있더라도 이에 대한 항변(대응)을 이유로 대금 지급을 거절할 수 없다.,서비스 하자에 대한 대금 지급 거절(동시이행의 항변권) 등 법률상 항변권을 부당하게 배제함.,제11조 제1호,"고객은 회사의 서비스 제공에 중대한 하자가 발생한 경우, 그 하자에 비례하여 대금의 지급을 거절하거나 유보할 수 있습니다."
v-221,AI_Generated_Data,고객의 권익 보호,"고객이 회사에 대해 별도의 채권을 가지고 있더라도, 본 계약상의 채무와 상계하는 것은 허용되지 않는다.",고객의 법률상 당연히 가지는 상계권을 상당한 이유 없이 전면적으로 제한함.,제11조 제1호,고객은 회사에 대해 가지는 채권과 본 계약상의 채무를 관련 법령에 따라 상계할 수 있습니다.
v-222,AI_Generated_Data,고객의 권익 보호,"회사가 납품한 제품에 결함이 발생할 경우에도, 고객은 제품의 하자를 이유로 잔금 지급을 유보할 수 없다.",제품 하자를 이유로 한 **잔금 지급 유보(항변권)**라는 법률상 권리를 부당하게 제한함.,제11조 제1호,"고객은 회사가 납품한 제품에 결함이 발생할 경우, 하자 보수 또는 손해배상 청구를 할 수 있으며, 그에 상응하여 잔금 지급을 유보할 수 있습니다."
v-223,AI_Generated_Data,고객의 권익 보호,"고객은 회사의 청구에 대하여 어떠한 사유로도 지급을 거절할 수 없으며, 이의는 별도의 절차를 통해 제기해야 한다.",어떠한 사유로도 지급 거절권을 행사할 수 없도록 고객의 법률상 항변권을 전면적으로 배제함.,제11조 제1호,고객은 회사의 청구 내용에 명백한 오류나 하자가 있는 경우 등 법률이 허용하는 사유로 지급을 거절하거나 이의를 제기할 수 있습니다.
v-224,AI_Generated_Data,고객의 권익 보호,"고객은 회사의 귀책사유로 인한 손해배상 채권이 발생하더라도, 이를 이용료 채무와 상계 처리할 수 없다.",고객에게 발생한 손해배상 채권을 이용료 채무와 상계하는 권리를 부당하게 제한함.,제11조 제1호,고객은 회사의 귀책사유로 발생한 손해배상 채권을 본 계약상의 이용료 채무와 상계 처리할 수 있습니다.
v-225,AI_Generated_Data,고객의 권익 보호,"회사가 대출 채권을 제3자에게 양도하는 경우, 고객은 회사에 대항할 수 있었던 사유로써 양수인에게 대항할 수 없다.",채권 양도 시 채무자가 양수인에게 대항할 수 있는 법률상 권리를 부당하게 배제함(민법 제451조 위반).,제11조 제1호,"회사가 채권을 제3자에게 양도하는 경우에도, 고객은 회사에 대항할 수 있었던 사유로써 양수인에게 대항할 수 있습니다."
v-226,AI_Generated_Data,고객의 권익 보호,회사가 제공한 서비스의 품질이 약정 기준에 미달하더라도 대금의 감액을 요구하며 항변할 수 없다.,품질 미달에 따른 대금 감액 요구라는 법률상 권리를 부당하게 제한함.,제11조 제1호,"회사가 제공한 서비스의 품질이 약정 기준에 미달하는 경우, 고객은 그 미달 정도에 따라 대금 감액을 요구하며 항변할 수 있습니다."
v-227,AI_Generated_Data,고객의 권익 보호,본 계약의 모든 채무는 고객이 회사에 가지는 모든 종류의 권리(상계권 포함)에 우선하여 이행되어야 한다.,고객이 가지는 모든 법률상 권리보다 계약상 채무 이행을 무조건 우선하도록 강제하여 권리 행사를 사실상 불가능하게 함.,제11조 제1호,"고객은 본 계약상의 채무 이행과 별도로 **법률에 따른 권리(상계권, 항변권 등)**를 행사할 수 있습니다."
v-228,AI_Generated_Data,고객의 권익 보호,"회사가 공급하는 제품에 하자가 명백한 경우에도, 고객은 하자 보수가 완료될 때까지 대금 지급을 거절할 권리가 없다.",제품의 명백한 하자에도 불구하고 **대금 지급 거절권(항변권)**을 부당하게 제한함.,제11조 제1호,"회사가 공급하는 제품에 하자가 명백한 경우, 고객은 하자 보수가 완료되거나 손해배상이 이루어질 때까지 그 대금의 지급을 거절할 수 있습니다."
v-229,AI_Generated_Data,고객의 권익 보호,본 계약서에 명시된 채무 이외의 다른 사유로써 회사의 채권 행사에 이의를 제기하거나 항변할 수 없다.,계약서에 명시되지 않은 법률상의 다른 항변 사유를 들어 항변하는 권리까지 전면적으로 제한함.,제11조 제1호,고객은 본 계약서에 명시된 사유 외에도 법률상 허용되는 사유로 회사의 채권 행사에 이의를 제기하거나 항변할 수 있습니다.
,,,,,,
v-230,AI_Generated_Data,계약의 해제ㆍ해지,회사는 내부 경영상의 이유로 고객에게 통지 없이 서비스 제공을 일방적으로 중단할 수 있다.,사업자의 **내부 사정(경영상 이유)**을 이유로 고객에게 통지 없이 서비스 제공을 중단하는 것은 해지권 요건을 부당하게 완화한 것임.,제9조 제4호,"회사가 서비스를 중단할 경우, 관련 법령에 따라 고객에게 사전에 명확히 통지하며, 고객의 손해를 배상합니다."
v-231,AI_Generated_Data,계약의 해제ㆍ해지,회사는 계약 기간 중 언제든지 고객에게 제공하기로 한 핵심 서비스를 영구적으로 종료할 수 있다.,계약 기간 중 핵심 서비스를 사업자가 일방적으로 종료할 수 있도록 허용하여 해지권 요건을 부당하게 완화함.,제9조 제4호,"회사는 계약 기간 중 서비스를 종료하려면 정당한 사유를 고객에게 사전에 통보하고, 고객에게 발생한 손해를 배상합니다."
v-232,AI_Generated_Data,계약의 해제ㆍ해지,회사는 필요하다고 판단될 경우 고객의 동의 없이 서비스 제공 의무를 다른 사업자에게 포괄적으로 이전할 수 있다.,고객과의 신뢰 관계에 기반한 의무를 고객 동의 없이 다른 사업자에게 포괄 이전하는 것은 부당함.,제9조 제4호,회사는 서비스 제공 의무를 다른 사업자에게 이전할 경우 고객에게 사전 통지하고 동의를 얻어야 합니다.
v-233,AI_Generated_Data,계약의 해제ㆍ해지,회사는 시장의 상황 변화를 이유로 고객에게 제공되는 상품의 품질이나 성능을 일방적으로 저하시키거나 변경할 수 있다.,시장의 상황 변화'라는 불명확한 사유로 계약의 본질적 내용인 품질/성능을 일방적으로 저하시키는 것은 부당함.,제9조 제4호,"회사는 고객에게 제공되는 상품의 품질이나 성능을 변경할 필요가 있을 경우, 고객의 동의를 얻어야 합니다."
v-234,AI_Generated_Data,계약의 해제ㆍ해지,회사는 시스템 정기 점검의 필요성을 이유로 고객에게 사전 통보 없이 24시간 이상 서비스 제공을 중지할 수 있다.,고객의 이익에 중대한 영향을 미치는 장시간 중지를 사전 통보 없이 할 수 있도록 하여 사업자 책임을 부당하게 완화함.,제9조 제4호,"회사가 시스템 점검으로 인해 서비스를 중지할 경우, 사전에 고객에게 통지해야 하며, 불가피한 경우라도 중지 기간을 최소화해야 합니다."
v-235,AI_Generated_Data,계약의 해제ㆍ해지,"회사는 업무 효율을 위한 합리적인 사유가 있다고 판단될 경우, 고객과의 계약상 의무 이행을 제3자에게 대행시킬 수 있다.",업무 효율'이라는 자의적인 사유로 계약 이행 의무를 고객 동의 없이 제3자에게 대행시키는 것은 부당함.,제9조 제4호,"회사는 계약상 의무 이행을 제3자에게 대행시킬 경우, 고객의 권익 보호를 위해 그 제3자의 행위에 대해 회사와 동일한 책임을 부담합니다."
v-236,AI_Generated_Data,계약의 해제ㆍ해지,"고객이 회사에 대한 비판적인 의견을 외부에 표명할 경우, 회사는 해당 고객에게 제공 중인 모든 서비스를 즉시 중지한다.",고객의 정당한 의사 표현을 이유로 계약상 의무인 서비스 제공을 즉시 중지하는 것은 해지권 요건을 부당하게 완화한 것임.,제9조 제4호,회사는 고객의 정당한 의사 표현을 이유로 계약상 서비스 제공을 중지할 수 없습니다.
v-237,AI_Generated_Data,소송 제기의 금지 등,본 계약상 회사의 의무는 천재지변이나 기타 불가항력적인 사유 발생 시 자동으로 해제되어 서비스를 중단할 수 있다.,불가항력 발생 시 회사의 의무가 자동으로 해제되는 것으로 정하여 책임을 부당하게 면제함.,제14조 제1호,"회사는 불가항력적인 사유로 서비스 제공이 불가능할 경우 지체 없이 고객에게 통지하고, 그 사유가 해소되면 서비스를 재개합니다."
v-238,AI_Generated_Data,계약의 해제ㆍ해지,"회사는 계약 체결 후 고객이 부적절하다고 판단될 경우, 고객의 서비스 이용 시작을 정당한 이유 없이 무기한 연기할 수 있다.",부적절하다고 판단될 경우'라는 자의적이고 불명확한 사유로 계약 이행(서비스 시작)을 무기한 연기하는 것은 부당함.,제9조 제4호,"회사는 고객의 서비스 이용 시작을 연기하려면 정당하고 객관적인 사유가 있어야 하며, 그 기간 및 사유를 고객에게 즉시 통지해야 합니다."
v-239,AI_Generated_Data,계약의 해제ㆍ해지,고객이 이용 중인 서비스의 전부 또는 일부는 회사의 내부 사정에 따라 고객 동의 없이 다른 플랫폼으로 변경되어 제공될 수 있다.,고객이 계약한 서비스의 제공 장소(플랫폼)를 내부 사정을 이유로 고객 동의 없이 변경하는 것은 부당함.,제9조 제4호,"회사는 서비스 플랫폼을 변경할 경우, 고객의 이익에 중대한 영향을 미치는지 여부를 고려하여 사전에 통지하고 고객의 동의를 받아야 합니다."
,,,,,,
v-240,AI_Generated_Data,채무의 이행,회사는 시장의 상황 변화를 이유로 고객에게 제공하는 서비스의 요금을 고객 동의 없이 일방적으로 인상할 수 있다.,시장의 상황 변화'라는 불명확한 사유로 요금이라는 계약의 핵심 내용을 고객 동의 없이 일방적으로 변경함.,제10조 제1호,회사는 서비스 요금을 인상하려면 관련 법령에 따라 고객에게 사전에 통지하고 명시적인 동의를 받아야 합니다.
v-241,AI_Generated_Data,채무의 이행,회사는 경영 효율성 제고를 위해 고객이 이용하는 서비스의 품질이나 규격을 사전 통보 없이 임의로 변경할 수 있다.,경영 효율성이라는 사유로 서비스의 품질을 사전 통보 없이 임의 변경하여 계약상 채무를 일방적으로 이행하지 않을 여지를 만듦.,제10조 제1호,"회사는 고객에게 제공되는 서비스의 품질이나 규격을 변경하려면 고객의 동의를 얻어야 하며, 고객의 권익에 불리한 변경은 할 수 없습니다."
v-242,AI_Generated_Data,채무의 이행,회사는 고객에게 제공하기로 약정한 사은품 또는 혜택을 별도의 고지 없이 동급이 아닌 다른 상품으로 대체하여 지급할 수 있다.,약정된 사은품 등을 별도 고지 없이 고객에게 불리한 내용으로 임의 대체하여 고객의 권익을 침해함.,제10조 제1호,"회사는 약정된 사은품 또는 혜택을 변경해야 할 경우, 고객에게 사전 통지하고 동의를 얻거나 고객에게 불이익이 없는 동급 이상의 상품으로 대체 지급합니다."
v-243,AI_Generated_Data,채무의 이행,회사는 내부 운영상의 판단에 따라 고객에게 제공되는 기술 지원의 범위와 시간을 언제든지 축소하거나 폐지할 수 있다.,내부 운영상의 판단'이라는 자의적 사유로 약정된 기술 지원 의무를 일방적으로 축소하거나 폐지함.,제10조 제1호,회사는 약정된 기술 지원의 범위와 시간을 고객의 동의 없이 일방적으로 축소하거나 폐지할 수 없습니다.
